"number";"player";"team";"apps";"min";"goals";"NPG";"a"
106;"Noah Cadiou";"Lorient";28;1851;3;3;1
107;"Amine Sbaï";"Angers";25;1865;3;3;1
108;"Bryan Okoh";"Auxerre";13;1005;3;3;0
109;"Nabil Bentaleb";"Lille";26;1253;2;1;2
110;"Ciro Immobile";"Paris FC";12;736;2;2;2
111;"Benjamin André";"Lille";27;2328;2;2;2
112;"Rémy Cabella";"Nantes";11;561;2;1;0
113;"Jeremie Boga";"Nice";14;645;2;2;2
114;"Valentin Rongier";"Rennes";31;2750;2;2;5
115;"Abdoulaye Touré";"Le Havre";11;740;2;2;0
116;"Achraf Hakimi";"Paris Saint Germain";18;1382;2;2;2
117;"Thomas Meunier";"Lille";25;1911;2;2;2
118;"Vincent Marchetti";"Paris FC";23;798;2;2;1
119;"Ruben Aguilar";"Lens";26;1751;2;2;2
120;"Denis Zakaria";"Monaco";24;2039;2;2;1
121;"Jessy Deminguet";"Metz";31;2059;2;2;0
122;"Timothy Weah";"Marseille";29;2286;2;2;2
123;"Naif Aguerd";"Marseille";16;1407;2;2;0
124;"Hamed Junior Traore";"Marseille";13;612;2;2;1
125;"Joris Chotard";"Brest";33;2790;2;2;1
126;"Mama Baldé";"Brest";18;712;2;2;2
127;"Melvin Bard";"Nice";29;2393;2;2;1
128;"Mbwana Samatta";"Le Havre";27;1550;2;2;1
129;"Jean-Phillipe Krasso";"Paris FC";25;1082;2;1;2
130;"Sinaly Diomande";"Auxerre";24;2138;2;2;2
131;"Terem Igobor Moffi";"Nice";10;484;2;2;0
132;"Martín Satriano";"Lyon";11;696;2;2;1
133;"Théo Le Bris";"Lorient";28;1915;2;2;2
134;"Tyler Morton";"Lyon";29;2549;2;2;2
135;"Louis Mouton";"Angers";32;1947;2;2;1
136;"Mika Biereth";"Monaco";32;1051;2;2;2
137;"Guemissongui Ouattara";"Strasbourg";28;1763;2;2;0
138;"Yassin Belkhdim";"Angers";27;2175;2;2;2
139;"Guela Doué";"Strasbourg";24;2065;2;2;6
140;"Himad Abdelli";"Angers,Marseille";21;1075;2;0;0
141;"Abdallah Sima";"Lens";21;693;2;2;2
142;"Ethan Nwaneri";"Marseille";9;334;2;2;1
143;"Lilian Raolisoa";"Angers";32;1975;2;2;4
144;"Samuel Amo-Ameyaw";"Strasbourg";25;1010;2;2;2
145;"Cristian Cásseres Jr.";"Toulouse";30;2506;2;2;3
146;"Yassine Kechta";"Le Havre";30;1343;2;2;1
147;"Koffi Kouao";"Metz";27;2296;2;2;1
148;"Sadibou Sané";"Metz";23;1940;2;2;1
149;"Amir Murillo";"Marseille";16;978;2;2;1
150;"Arthur Avom";"Lorient";31;2095;2;2;1
151;"Malick Fofana";"Lyon";12;766;2;2;1
152;"Beraldo";"Paris Saint Germain";20;1579;2;2;1
153;"Valentín Barco";"Strasbourg";27;2187;2;2;4
154;"George Ilenikhena";"Monaco";15;343;2;2;0
155;"Dayann Methalie";"Toulouse";27;1906;2;2;1
156;"Bahereba Guirassy";"Nantes";20;799;2;2;1
157;"Saud Abdulhamid";"Lens";25;1335;2;2;4
158;"Abdelhamid Aït Boudlal";"Rennes";20;1396;2;2;1
159;"Goduine Koyalipou";"Angers";13;669;2;1;1
160;"Rudy Matondo";"Auxerre,Paris FC";27;1333;2;2;0
161;"Samson Baidoo";"Lens";23;1823;2;2;1
162;"Arsène Kouassi";"Lorient";31;2642;2;2;6
163;"Giorgi Abuashvili";"Metz";23;655;2;2;0
164;"Julián Vignolo";"Toulouse";13;154;2;2;0
165;"Djibirin Harouna";"Angers";15;286;2;2;1
166;"Noah Nartey";"Lyon";11;536;2;2;0
167;"Nathan Mbala";"Metz";13;426;2;2;2
168;"Giorgi Kvilitaia";"Metz";10;503;2;2;0
169;"Eric Dier";"Monaco";9;693;1;1;0
170;"Seko Fofana";"Rennes";12;659;1;1;0
171;"Sofiane Boufal";"Le Havre";17;1050;1;1;4
172;"Ainsley Maitland-Niles";"Lyon";30;2496;1;1;4
173;"Fabián";"Paris Saint Germain";20;1138;1;1;4
174;"Aissa Mandi";"Lille";29;2432;1;1;0
175;"Gaetan Perrin";"Lille";12;314;1;1;0
176;"Florian Sotoca";"Lens";26;458;1;1;0
177;"Benjamin Pavard";"Marseille";27;1932;1;1;2
178;"Gautier Lloris";"Le Havre";29;2397;1;1;1
179;"Lucas Tousart";"Brest";24;820;1;1;0
180;"Jean-Philippe Gbamin";"Metz";31;2487;1;1;1
181;"Laurent Abergel";"Lorient";28;2347;1;1;0
182;"Pierre Lees-Melou";"Brest,Paris FC";24;1971;1;1;3
183;"Arnaud Nordin";"Rennes";10;586;1;1;3
184;"Hugo Magnetti";"Brest";33;2721;1;1;1
185;"Matthieu Udol";"Lens";34;3000;1;1;7
186;"Chidozie Awaziem";"Nantes";26;2239;1;1;2
187;"Mohammed Salisu";"Monaco";12;1080;1;1;0
188;"Francisco Sierralta";"Auxerre";10;869;1;1;0
189;"Amadou Haidara";"Lens";7;241;1;1;1
190;"Sebastian Szymanski";"Rennes";16;796;1;1;3
191;"Brendan Chardonnet";"Brest";29;2555;1;1;3
192;"Hichem Boudaoui";"Nice";25;1697;1;1;2
193;"Boubacar Traore";"Metz";20;1414;1;1;0
194;"Georges Mikautadze";"Lyon";2;180;1;1;0
195;"Jonathan Clauss";"Nice";30;2529;1;1;6
196;"Vitinha";"Paris Saint Germain";29;2122;1;1;7
197;"Dilane Bakwa";"Strasbourg";3;94;1;1;2
198;"Marvin Senaya";"Auxerre";25;1796;1;1;0
199;"Quentin Merlin";"Rennes";33;2534;1;1;5
200;"Antoine Mendy";"Nice";25;2105;1;1;0
201;"Przemyslaw Frankowski";"Rennes";19;1230;1;1;2
202;"Jim Allevinah";"Angers";6;110;1;1;0
203;"Igor Silva";"Lorient";17;1208;1;1;0
204;"Andrew Omobamidele";"Strasbourg";25;1336;1;1;0
205;"Tanner Tessmann";"Lyon";29;1938;1;1;0
206;"Lohann Doucet";"Paris FC";5;114;1;1;0
207;"Junior Mwanga";"Nantes,Strasbourg";20;1651;1;1;1
208;"Rasmus Nicolaisen";"Toulouse";32;2582;1;1;0
209;"Anthony Rouault";"Rennes";21;1723;1;1;0
210;"Ousmane Camara";"Angers";32;2724;1;1;0
211;"Julien Le Cardinal";"Brest";5;323;1;1;0
212;"Warren Kamanzi";"Toulouse";24;825;1;1;1
213;"Illia Zabarnyi";"Paris Saint Germain";28;2387;1;1;0
214;"Morgan Guilavogui";"Lens";16;444;1;1;0
215;"Arouna Sangante";"Le Havre";28;2357;1;1;1
216;"Josué Casimir";"Auxerre";31;1509;1;1;0
217;"Oussama El Azzouzi";"Auxerre";11;821;1;1;0
218;"Ibou Sané";"Metz";16;520;1;1;1
219;"Samir El Mourabet";"Strasbourg";33;2145;1;1;2
