"number";"player";"team";"apps";"min";"goals";"NPG";"a"
379;"Denis Huseinbasic";"FC Cologne";15;726;0;0;0
380;"Nelson Weiper";"Mainz 05";24;486;0;0;0
381;"Sael Kumbedi";"Wolfsburg";24;1825;0;0;5
382;"Aljoscha Kemlein";"Union Berlin";30;1984;0;0;2
383;"Andreas Hanche-Olsen";"Mainz 05";13;843;0;0;1
384;"Aurélio Buta";"Eintracht Frankfurt";4;131;0;0;0
385;"Merlin Röhl";"Freiburg";2;52;0;0;0
386;"Damion Downs";"Hamburger SV";12;534;0;0;0
387;"Ameen Al Dakhil";"VfB Stuttgart";8;368;0;0;0
388;"Senne Lynen";"Werder Bremen";31;2766;0;0;0
389;"Cédric Zesiger";"Augsburg";27;1798;0;0;0
390;"Václav Cerny";"Wolfsburg";2;40;0;0;0
391;"Omar Traoré";"FC Heidenheim";26;1506;0;0;2
392;"Benedikt Gimber";"FC Heidenheim";21;1467;0;0;0
393;"Victor Boniface";"Werder Bremen";11;309;0;0;2
394;"Nicolas Seiwald";"RasenBallsport Leipzig";33;2730;0;0;2
395;"Leart Paqarada";"FC Heidenheim";1;6;0;0;0
396;"Leonidas Stergiou";"FC Heidenheim,VfB Stuttgart";6;194;0;0;0
397;"Lukas Ullrich";"Borussia M.Gladbach";23;1301;0;0;0
398;"Skelly Alvero";"Werder Bremen";2;23;0;0;0
399;"Thomas Keller";"FC Heidenheim";4;193;0;0;0
400;"Daniel Batz";"Mainz 05";21;1890;0;0;0
401;"Jordy Makengo";"Freiburg";20;1160;0;0;1
402;"Kauã Santos";"Eintracht Frankfurt";13;1084;0;0;0
403;"Elias Baum";"Eintracht Frankfurt";5;64;0;0;0
404;"Yannick Eduardo";"Hoffenheim";1;1;0;0;0
405;"Julián Malatini";"Werder Bremen";11;508;0;0;0
406;"Isak Hansen-Aaröen";"Werder Bremen";1;1;0;0;0
407;"Frank Feller";"FC Heidenheim";3;270;0;0;0
408;"Max Rosenfelder";"Freiburg";12;476;0;0;0
409;"Yukinari Sugawara";"Werder Bremen";31;2444;0;0;6
410;"Kosta Nedeljkovic";"RasenBallsport Leipzig";5;251;0;0;0
411;"Nikolas Veratschnig";"Mainz 05";21;614;0;0;1
412;"Mio Backhaus";"Werder Bremen";32;2880;0;0;0
413;"Bruno Ogbus";"Freiburg";18;1180;0;0;0
414;"Ramon Hendriks";"VfB Stuttgart";31;2011;0;0;3
415;"Nicolai Remberg";"Hamburger SV";32;2880;0;0;2
416;"Maarten Vandevoordt";"RasenBallsport Leipzig";12;1052;0;0;0
417;"Aurèle Amenda";"Eintracht Frankfurt";24;1664;0;0;0
418;"Kamil Grabara";"Wolfsburg";34;3060;0;0;0
419;"Bence Dárdai";"Wolfsburg";1;31;0;0;0
420;"Nikola Vasilj";"St. Pauli";34;3060;0;0;0
421;"Lars Ritzka";"St. Pauli";21;974;0;0;0
422;"Jackson Irvine";"St. Pauli";24;1617;0;0;1
423;"Connor Metcalfe";"St. Pauli";25;536;0;0;2
424;"Elias Saad";"Augsburg";10;518;0;0;0
425;"Oladapo Afolayan";"St. Pauli";7;135;0;0;0
426;"Filippo Mané";"Borussia Dortmund";4;142;0;0;0
427;"Almugera Kabar";"Borussia Dortmund";1;14;0;0;0
428;"Cole Campbell";"Borussia Dortmund,Hoffenheim";6;64;0;0;0
429;"Jahmai Simpson-Pusey";"FC Cologne";11;863;0;0;0
430;"Axel Tape";"Bayer Leverkusen";6;214;0;0;0
431;"Jonah Kusi-Asare";"Bayern Munich";1;1;0;0;0
432;"Carl Klaus";"Union Berlin";4;330;0;0;0
433;"Luka Djuric";"Hoffenheim";1;5;0;0;0
434;"Wisdom Mike";"Bayern Munich";4;18;0;0;0
435;"Mick Schmetgens";"Werder Bremen";2;34;0;0;0
436;"Luca Jaquez";"VfB Stuttgart";14;893;0;0;1
437;"Finn Jeltsch";"VfB Stuttgart";23;1501;0;0;1
438;"Alejo Sarco";"Bayer Leverkusen,Borussia M.Gladbach";6;107;0;0;0
439;"Charles Herrmann";"Borussia M.Gladbach";1;1;0;0;1
440;"Jan Bürger";"Wolfsburg";7;247;0;0;0
441;"Claudio Echeverri";"Bayer Leverkusen";6;112;0;0;0
442;"Jenson Seelt";"Wolfsburg";9;681;0;0;0
443;"Ezechiel Banzuzi";"RasenBallsport Leipzig";24;521;0;0;1
444;"Koki Machida";"Hoffenheim";1;45;0;0;0
445;"Leon Avdullahu";"Hoffenheim";33;2860;0;0;1
446;"Yannik Wagner";"FC Heidenheim";4;31;0;0;0
447;"Cyriaque Irié";"Freiburg";10;331;0;0;0
448;"Matheo Raab";"Union Berlin";1;90;0;0;0
449;"Lazar Jovanovic";"VfB Stuttgart";3;23;0;0;0
450;"Arkadiusz Pyrka";"St. Pauli";31;2596;0;0;1
451;"Jobe Bellingham";"Borussia Dortmund";32;1779;0;0;1
452;"Joël Schmied";"FC Cologne";16;1090;0;0;0
453;"Sebastian Sebulonsen";"FC Cologne";31;2519;0;0;0
454;"Kristoffer Lund";"FC Cologne";33;2319;0;0;2
455;"Jusuf Gazibegovic";"FC Cologne";1;17;0;0;0
456;"Rav van den Berg";"FC Cologne";14;1138;0;0;1
457;"Daniel Elfadli";"Hamburger SV";21;1257;0;0;0
458;"Giorgi Gocholeishvili";"Hamburger SV";24;909;0;0;1
459;"Miro Muheim";"Hamburger SV";29;2443;0;0;4
460;"Emir Sahiti";"Hamburger SV";2;124;0;0;0
461;"Alexander Røssing-Lelesiit";"Hamburger SV";11;319;0;0;1
462;"Aboubaka Soumahoro";"Hamburger SV";4;140;0;0;0
463;"Otto Stange";"Hamburger SV";10;275;0;0;0
464;"Andrija Maksimovic";"RasenBallsport Leipzig";8;77;0;0;0
465;"Aiman Dardari";"Augsburg";3;21;0;0;0
466;"Sota Kawasaki";"Mainz 05";10;295;0;0;0
467;"Ezequiél Fernández";"Bayer Leverkusen";20;1009;0;0;1
468;"William Bøving";"Mainz 05";9;206;0;0;1
469;"Cassiano Kiala";"Bayern Munich";1;1;0;0;0
470;"Tobias Weigel";"FC Heidenheim";1;1;0;0;0
471;"Dmytro Bogdanov";"Union Berlin";2;2;0;0;0
472;"Jan Urbich";"Borussia M.Gladbach";3;28;0;0;0
473;"David Santos";"Bayern Munich";2;25;0;0;0
474;"Fabio Moreno Fell";"Mainz 05";2;80;0;0;0
475;"Pharell Hensel";"Wolfsburg";5;68;0;0;0
476;"Samba Konate";"RasenBallsport Leipzig";1;1;0;0;0
477;"Cenny Neumann";"FC Cologne";2;74;0;0;0
478;"Tim Schnitzer";"Augsburg";1;1;0;0;0
479;"Fynn Schenten";"FC Cologne";7;86;0;0;0
480;"Felipe Chávez";"Bayern Munich,FC Cologne";9;88;0;0;0
481;"Deniz Ofli";"Bayern Munich";1;2;0;0;0
482;"Kota Takai";"Borussia M.Gladbach";8;329;0;0;0
483;"Youssoupha Niang";"FC Cologne";10;179;0;0;0
484;"Jeremy Arévalo";"VfB Stuttgart";7;21;0;0;1
485;"Tomoya Ando";"St. Pauli";15;1263;0;0;1
486;"Sander Tangvik";"Hamburger SV";1;90;0;0;0
487;"Mathias Rasmussen";"St. Pauli";13;692;0;0;0
488;"Louis Lemke";"Hamburger SV";1;1;0;0;0
489;"Love Arrhov";"Eintracht Frankfurt";5;58;0;0;0
490;"Jonas Adjetey";"Wolfsburg";4;134;0;0;0
491;"Mathis Albert";"Borussia Dortmund";1;1;0;0;0
492;"Christian Conteh";"FC Heidenheim";9;398;0;0;0
493;"Uchenna Ogundu";"Augsburg";5;33;0;0;0
494;"Rouven Tarnutzer";"Freiburg";1;4;0;0;0
495;"Maycon Douglas Cardozo";"Bayern Munich";2;31;0;0;0
496;"Erblin Osmani";"Bayern Munich";1;2;0;0;0
497;"Shafiq Nandja";"Hamburger SV";2;12;0;0;0
498;"Linus Güther";"Union Berlin";1;4;0;0;0
499;"Bara Sapoko Ndiaye";"Bayern Munich";4;146;0;0;0
