"number";"player";"team";"apps";"min";"goals";"NPG";"a"
198;"Yussuf Poulsen";"Hamburger SV";15;286;1;1;0
199;"Marco Friedl";"Werder Bremen";30;2552;1;1;0
200;"Jonas Föhrenbach";"FC Heidenheim";27;2333;1;1;1
201;"Robin Hack";"Borussia M.Gladbach";8;311;1;1;0
202;"Stanley N&#039;Soki";"Union Berlin";13;837;1;1;2
203;"Joshua Vagnoman";"VfB Stuttgart";27;1589;1;1;3
204;"Kevin Stöger";"Borussia M.Gladbach";29;1322;1;1;1
205;"Philipp Mwene";"Mainz 05";29;2081;1;1;2
206;"Alphonso Davies";"Bayern Munich";13;521;1;1;3
207;"Valentin Gendrey";"Hoffenheim";8;38;1;1;1
208;"Andreas Skov Olsen";"Wolfsburg";8;365;1;1;0
209;"Denis Vavro";"Wolfsburg";17;1168;1;1;0
210;"Giovanni Reyna";"Borussia M.Gladbach";19;485;1;1;0
211;"Nathan Tella";"Bayer Leverkusen";17;890;1;1;4
212;"Chrislain Matsima";"Augsburg";18;1494;1;1;1
213;"Silas Wamangituka";"Mainz 05";8;346;1;1;0
214;"Vladimir Coufal";"Hoffenheim";34;3032;1;1;8
215;"Joakim Maehle";"Wolfsburg";16;1226;1;1;2
216;"Castello Lukeba";"RasenBallsport Leipzig";26;2176;1;1;0
217;"Patrick Osterhage";"Freiburg";20;1190;1;1;0
218;"Hiroki Ito";"Bayern Munich";16;918;1;1;2
219;"Moritz Jenz";"Wolfsburg";22;1795;1;1;0
220;"Arthur Theate";"Eintracht Frankfurt";24;2147;1;1;0
221;"Jonas Wind";"Wolfsburg";11;480;1;1;0
222;"Oscar Fraulo";"Borussia M.Gladbach";4;30;1;1;0
223;"Tim Skarke";"Union Berlin";22;555;1;1;1
224;"Kim Min-Jae";"Bayern Munich";25;1621;1;1;1
225;"Keke Maximilian Topp";"Werder Bremen";20;617;1;1;1
226;"Josip Juranovic";"Union Berlin";11;309;1;1;1
227;"Grant-Leon Ranos";"Borussia M.Gladbach";8;89;1;1;0
228;"Adrian Beck";"FC Heidenheim";24;847;1;1;1
229;"Arthur";"Bayer Leverkusen";20;1130;1;1;3
230;"Max Finkgrafe";"RasenBallsport Leipzig";13;491;1;1;1
231;"Benedict Hollerbach";"Mainz 05";14;903;1;1;2
232;"Olivier Deman";"Werder Bremen";16;1251;1;1;2
233;"Mikkel Kaufmann";"FC Heidenheim";16;519;1;1;1
234;"Junior Adamu";"Freiburg";9;456;1;1;1
235;"Nnamdi Collins";"Eintracht Frankfurt";23;1490;1;1;2
236;"Albert Grønbæk";"Hamburger SV";7;500;1;1;2
237;"Kaishu Sano";"Mainz 05";34;3060;1;1;2
238;"Samuel Essende";"Augsburg";14;361;1;1;0
239;"Oscar Højlund";"Eintracht Frankfurt";24;1082;1;1;1
240;"Karol Mets";"St. Pauli";23;1938;1;1;0
241;"Philipp Treu";"Freiburg";28;2195;1;1;2
242;"Manolis Saliakas";"St. Pauli";17;1118;1;1;3
243;"Adam Dzwigala";"St. Pauli";19;1303;1;1;1
244;"Léo Scienza";"FC Heidenheim";2;180;1;1;0
245;"Robin Hranác";"Hoffenheim";29;2261;1;1;0
246;"Derrick Köhn";"Union Berlin";29;1887;1;0;2
247;"Noahkai Banks";"Augsburg";23;1746;1;1;1
248;"Patrice Covic";"Werder Bremen";15;326;1;1;0
249;"James Sands";"St. Pauli";24;1957;1;1;0
250;"Hennes Behrens";"FC Heidenheim";16;1321;1;1;2
251;"Tidiam Gomis";"RasenBallsport Leipzig";18;309;1;1;0
252;"Aaron Anselmino";"Borussia Dortmund";6;368;1;1;0
253;"Karim Coulibaly";"Werder Bremen";27;2128;1;1;0
254;"Adam Kölle";"FC Heidenheim";6;73;1;1;0
255;"Joel Chima Fujita";"St. Pauli";32;2689;1;1;3
256;"Louis Oppie";"St. Pauli";23;1606;1;1;0
257;"Nicolás Capaldo";"Hamburger SV";26;2029;1;1;3
258;"Albian Hajdari";"Hoffenheim";30;2449;1;1;2
259;"Isaac Schmidt";"Werder Bremen";19;671;1;1;0
260;"Alessio Castro-Montes";"FC Cologne";14;662;1;1;3
261;"Fabio Baldé";"Hamburger SV";16;422;1;1;1
262;"Cameron Puertas";"Werder Bremen";28;1867;1;1;2
263;"Montrell Culbreath";"Bayer Leverkusen";12;756;1;1;0
264;"Livan Burcu";"Union Berlin";18;621;1;1;1
265;"Kacper Potulski";"Mainz 05";15;1061;1;1;0
266;"Younes Ebnoutalib";"Eintracht Frankfurt";5;127;1;1;0
267;"Kento Shiogai";"Wolfsburg";12;292;1;1;0
268;"Luca Reggiani";"Borussia Dortmund";8;515;1;1;0
269;"Samuele Inácio";"Borussia Dortmund";7;371;1;1;0
270;"Philip Otele";"Hamburger SV";9;504;1;1;1
271;"Hugo Bolin";"Borussia M.Gladbach";13;534;1;1;1
272;"Salim Musah";"Werder Bremen";8;182;1;1;0
273;"Timo Werner";"RasenBallsport Leipzig";3;11;0;0;0
274;"Oliver Baumann";"Hoffenheim";34;3060;0;0;0
275;"Niklas Süle";"Borussia Dortmund";11;487;0;0;1
276;"Michael Zetterer";"Eintracht Frankfurt";22;1976;0;0;0
277;"Dominique Heintz";"FC Cologne";9;381;0;0;0
278;"Kevin Kampl";"RasenBallsport Leipzig";3;3;0;0;0
279;"Nico Elvedi";"Borussia M.Gladbach";33;2968;0;0;2
280;"Manuel Neuer";"Bayern Munich";22;1870;0;0;0
281;"Sven Ulreich";"Bayern Munich";1;90;0;0;0
