Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,Unnamed: 9
,Kike Barja LW LM RW,28,73,73,CA Osasuna 2018 ~ 2030,€3.1M,€27K,1757,
,Dani Cárdenas GK,28,73,75,Rayo Vallecano 2023 ~ 2027,€2.6M,€12K,1109,
,Sergio Camello ST,24,73,78,Rayo Vallecano 2023 ~ 2027,€4.7M,€18K,1871,
,A. Januzaj RW RM LM,30,73,73,Sevilla FC 2022 ~ 2029,€2.9M,€26K,1794,
,A. Freeman RB CM,20,73,81,Villarreal CF 2026 ~ 2032,€6.5M,€19K,1991,
,Morales ST LM CAM,37,73,73,Levante UD 2024 ~ 2030,€1M,€19K,2003,
,Brugui ST LM RM LW,28,73,73,Levante UD 2021 ~ 2028,€3.1M,€25K,1917,
,Oriol Rey CM CDM,27,73,73,Levante UD 2023 ~ 2027,€3.2M,€22K,1928,
,M. Moreno CB,21,73,79,"Levante UD Jun 30, 2026 On loan",€4.4M,€23K,1594,
,Álex Sancris RM LM RW,28,73,73,Getafe CF 2025 ~ 2028,€3.1M,€26K,1757,
,Rubén Blanco GK,29,73,74,Girona FC 2026 ~ 2029,€2.3M,€15K,1200,
,Joel Roca LW LM,20,73,82,Girona FC 2024 ~ 2029,€6.5M,€19K,1857,
,C. Echeverri CAM CM LM ST,19,73,85,"Girona FC Jun 30, 2026 On loan",€7M,€49K,1855,
,E. Bailly CB,31,73,73,Real Oviedo 2025 ~ 2027,€2.1M,€25K,1756,
,H. Hassan RW RM,23,73,79,Real Oviedo 2024 ~ 2027,€4.8M,€23K,1744,
,Javi López LB LM,23,73,79,"Real Oviedo Jun 30, 2026 On loan",€4.5M,€23K,1819,
,I. Chaira LW RM LM,24,73,76,Real Oviedo 2025 ~ 2028,€4.2M,€23K,1840,
,M. Travers GK,26,72,75,Everton 2025 ~ 2029,€2.4M,€17K,1173,
,R. Ngumoha LM LW,16,72,88,Liverpool 2025 ~ 2028,€6M,€29K,1773,
,E. Krafth RB CB,30,72,72,Newcastle United 2019 ~ 2029,€2M,€63K,1884,
,A. Gunn GK,29,72,73,Nottingham Forest 2025 ~ 2030,€1.8M,€34K,1231,
,O. Scarles LB,19,72,80,West Ham United 2023 ~ 2028,€4.8M,€27K,1820,
,L. O'Nien CB,30,72,72,Sunderland 2018 ~ 2027,€1.9M,€37K,1967,
,D. Cirkin LB,23,72,78,Sunderland 2021 ~ 2029,€3.5M,€31K,1847,
,E. Mayenda ST RM LM RW,20,72,82,Sunderland 2023 ~ 2030,€5M,€31K,1802,
,C. Rigg CAM CM RM,18,72,84,Sunderland 2023 ~ 2030,€5.5M,€25K,1875,
,Y. Mosquera CB,24,72,78,Wolverhampton Wanderers 2021 ~ 2030,€3.4M,€34K,1621,
,H. Reed CDM CM,30,72,72,Fulham FC 2020 ~ 2027,€2M,€48K,1860,
,A. Broja ST,23,72,76,Burnley 2025 ~ 2030,€3.4M,€35K,1697,
,L. Tchaouna RM ST RW,21,72,78,Burnley 2025 ~ 2029,€3.8M,€27K,1863,
,B. Sosa LB LM,27,72,72,Crystal Palace 2025 ~ 2028,€2.3M,€46K,1907,
,C. Riad CB,22,72,81,Crystal Palace 2024 ~ 2029,€4.9M,€40K,1668,
,S. Tzimas ST,19,72,81,Brighton & Hove Albion 2025 ~ 2030,€5M,€40K,1716,
,J. Dasilva CM CDM,26,72,73,Brentford 2018 ~ 2028,€2.7M,€43K,1943,
,A. Tóth CM CDM,19,72,85,AFC Bournemouth 2026 ~ 2031,€5.5M,€30K,1948,
,F. Forster GK,37,72,72,AFC Bournemouth 2026 ~ 2030,€250K,€17K,1186,
,R. Fofana ST,19,72,82,RC Lens 2025 ~ 2027,€5M,€15K,1742,
,C. Verdonk LB CB LM,28,72,72,Lille OSC 2025 ~ 2028,€2.1M,€20K,1956,
,E. Mbappé RM CM RW,18,72,82,Lille OSC 2024 ~ 2027,€4.9M,€13K,1848,
,R. Ghezzal RM RW,33,72,72,Olympique Lyonnais 2025 ~ 2029,€1.5M,€15K,1815,
,J. Fischer GK,23,72,78,FC Metz 2025 ~ 2029,€3M,€6K,1132,
,B. Stambouli CDM CM,34,72,72,FC Metz 2024 ~ 2029,€800K,€11K,1812,
,H. Diallo ST,30,72,72,FC Metz 2025 ~ 2028,€2.3M,€13K,1760,
,F. Ballo-Touré LB LM,28,72,72,FC Metz 2025 ~ 2028,€2.1M,€11K,1875,
,J. Deminguet CM CDM,27,72,72,FC Metz 2025 ~ 2028,€2.5M,€11K,1994,
,G. Tsitaishvili LM RM LW,24,72,75,"FC Metz Jun 30, 2026 On loan",€3.2M,€14K,1681,
,K. Ouattara LB LM,20,72,80,AS Monaco 2023 ~ 2028,€4.9M,€15K,1769,
,F. Coquelin CM CDM,34,72,72,FC Nantes 2025 ~ 2028,€1.1M,€14K,1940,
,Y. El Arabi ST CAM,38,72,72,FC Nantes 2025 ~ 2028,€800K,€12K,1801,
,K. Amian RB CB RM,27,72,72,FC Nantes 2024 ~ 2028,€2.3M,€13K,1854,
,C. Awaziem CB,28,72,73,FC Nantes 2025 ~ 2028,€2.2M,€14K,1655,
,S. Abdul Samed CDM CM,25,72,74,OGC Nice 2025 ~ 2028,€2.6M,€17K,1763,
,A. Mendy CB RB CDM,21,72,81,OGC Nice 2022 ~ 2028,€4.9M,€13K,1744,
,K. Oppong CB,21,72,79,OGC Nice 2025 ~ 2029,€4.4M,€13K,1549,
,D. Fofana ST,22,72,80,"RC Strasbourg Alsace Jun 30, 2026 On loan",€5.5M,€60K,1784,
,J. Mwanga CDM CM,22,72,76,RC Strasbourg Alsace 2023 ~ 2027,€3.1M,€27K,1789,
,J. Makengo CAM CM ST,27,72,73,FC Lorient 2023 ~ 2027,€2.7M,€15K,1970,
,A. Tosin ST CAM,27,72,73,FC Lorient 2023 ~ 2027,€2.7M,€16K,1896,
,S. Soumano ST CAM,24,72,77,FC Lorient 2021 ~ 2029,€3.6M,€14K,1657,
,J. Dina Ebimbe RM LM RW,24,72,75,"Stade Brestois 29 Jun 30, 2026 On loan",€3.2M,€19K,1961,
,S. Coulibaly CB,21,72,80,"Stade Brestois 29 Jun 30, 2026 On loan",€4.9M,€23K,1697,
,J. Diaz CB,21,72,80,"Stade Brestois 29 Jun 30, 2026 On loan",€4.9M,€4K,1617,
,C. Arcus RB RM,29,72,72,Angers SCO 2024 ~ 2030,€2.1M,€11K,1833,
,B. van den Boomen CM CDM CAM,29,72,72,"Angers SCO Jun 30, 2026 On loan",€2.3M,€14K,1934,
,G. Koyalipou ST RM RW,25,72,75,"Angers SCO Jun 30, 2026 On loan",€3.1M,€19K,1776,
,L. Mouton CAM CM,23,72,79,Angers SCO 2025 ~ 2028,€4.7M,€10K,1838,
,Y. Belkhdim CM CDM RM CAM,23,72,79,Angers SCO 2020 ~ 2028,€4.7M,€10K,1879,
,J. Ekomié LB LM,21,72,79,Angers SCO 2024 ~ 2027,€4.5M,€8K,1695,
,A. Sbaï LM RM ST LW,24,72,74,Angers SCO 2025 ~ 2027,€3M,€10K,1740,
,M. Diaw GK,32,72,72,Le Havre AC 2025 ~ 2027,€1.2M,€8K,1218,
,A. Seko CDM CB CM,25,72,77,Le Havre AC 2025 ~ 2027,€3.1M,€10K,1651,
,D. Methalie LB LM,19,72,82,Toulouse FC 2024 ~ 2030,€4.8M,€11K,1805,
,Emersonn ST,20,72,81,Toulouse FC 2025 ~ 2029,€5M,€14K,1779,
,W. Kamanzi RB RM,24,72,77,Toulouse FC 2023 ~ 2029,€3.3M,€14K,1851,
,F. Magri ST LW RW LM,25,72,75,Toulouse FC 2023 ~ 2030,€3.1M,€18K,1716,
,M. Cafaro LW RW LM,28,72,72,Paris FC 2025 ~ 2027,€2.4M,€34K,1905,
,W. Geubbels ST,23,72,77,Paris FC 2025 ~ 2030,€3.6M,€29K,1752,
,L. Koleosho RW LW RM,20,72,79,"Paris FC Jun 30, 2026 On loan",€4.6M,€30K,1741,
,M. Friedrich CB,29,72,72,Borussia Mönchengladbach 2022 ~ 2030,€2M,€20K,1618,
,N. Ngoumou RM RW LM,25,72,73,Borussia Mönchengladbach 2022 ~ 2027,€2.8M,€19K,1782,
,K. Takai CB,20,72,79,"Borussia Mönchengladbach Jun 30, 2026 On loan",€4.3M,€39K,1609,
,F. Müller GK,27,72,73,SC Freiburg 2023 ~ 2028,€2M,€12K,1154,
,L. Höler ST CAM CM,30,72,72,SC Freiburg 2018 ~ 2028,€2.3M,€22K,1808,
,J. Makengo LB LM,23,72,76,SC Freiburg 2023 ~ 2029,€3.1M,€16K,1742,
,Y. Poulsen ST,31,72,72,Hamburger SV 2025 ~ 2027,€2M,€20K,1910,
,R. Glatzel ST,31,72,72,Hamburger SV 2021 ~ 2027,€2M,€20K,1670,
,R. Philippe ST RW CAM,24,72,77,Hamburger SV 2025 ~ 2029,€3.6M,€17K,1713,
,W. Omari CB,25,72,76,Hamburger SV 2026 ~ 2030,€2.9M,€16K,1647,
,D. Elfadli CB CDM CM,28,72,73,Hamburger SV 2024 ~ 2028,€2.2M,€18K,1801,
,D. Heintz CB,31,72,72,1. FC Köln 2023 ~ 2029,€1.6M,€18K,1659,
,T. Hübers CB,28,72,73,1. FC Köln 2021 ~ 2028,€2.2M,€18K,1707,
,J. Thielmann RM RW RB,23,72,77,1. FC Köln 2019 ~ 2028,€3.5M,€16K,1935,
,J. Schmied CB,26,72,74,1. FC Köln 2025 ~ 2029,€2.6M,€17K,1510,
,K. Lund LB LM,23,72,79,"1. FC Köln Jun 30, 2026 On loan",€4.5M,€4K,1897,
,D. Huseinbašić CM CDM CAM,23,72,77,1. FC Köln 2022 ~ 2027,€3.5M,€16K,1823,
,T. Oermann CB RB CDM,21,72,80,Bayer 04 Leverkusen 2022 ~ 2029,€4.9M,€30K,1676,
,A. Al Dakhil CB,23,72,79,VfB Stuttgart 2024 ~ 2028,€4.4M,€21K,1568,
,I. Schmidt LB CM RB LM,25,72,75,"SV Werder Bremen Jun 30, 2026 On loan",€2.9M,€34K,1852,
,J. Njinmah ST RM RW,24,72,77,SV Werder Bremen 2022 ~ 2027,€3.6M,€19K,1789,
,D. Batz GK,34,72,72,1. FSV Mainz 05 2023 ~ 2029,€400K,€13K,1141,
,L. Maloney CDM CB CM,25,72,73,1. FSV Mainz 05 2025 ~ 2028,€2.5M,€18K,1753,
,Rogério LB LM,27,72,72,VfL Wolfsburg 2023 ~ 2027,€2.3M,€28K,1861,
,B. Dárdai CAM CM,19,72,82,VfL Wolfsburg 2024 ~ 2029,€5M,€21K,1782,
,A. Daghim RM ST RW,19,72,80,"VfL Wolfsburg Jun 30, 2026 On loan",€5M,€10K,1865,
,D. Pejčinović ST,20,72,79,VfL Wolfsburg 2022 ~ 2029,€4.7M,€24K,1715,
,E. Baum RB RM LB,19,72,84,Eintracht Frankfurt 2023 ~ 2028,€5.5M,€14K,1791,
,M. Damar CAM LM CM,21,72,80,TSG 1899 Hoffenheim 2022 ~ 2029,€5.5M,€18K,1783,
,I. Gharbi LM CAM LW,21,72,80,"FC Augsburg Jun 30, 2026 On loan",€5.5M,€8K,1825,
,N. Labrović GK,25,72,73,FC Augsburg 2024 ~ 2029,€2.1M,€13K,1174,
,M. Kömür CAM ST CM,19,72,82,FC Augsburg 2023 ~ 2029,€5M,€17K,1757,
,M. Saliakas RB RM CM,28,72,72,FC St. Pauli 2022 ~ 2030,€2.1M,€18K,1916,
,J. Sands CDM CM,24,72,75,"FC St. Pauli Jun 30, 2026 On loan",€2.9M,€6K,1723,
,J. Fujita CAM CDM CM,23,72,77,FC St. Pauli 2025 ~ 2029,€3.5M,€16K,1905,
