Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,Unnamed: 9
,Álvaro Rodríguez ST,20,72,83,Elche CF 2025 ~ 2029,€5M,€14K,1821,
,Gumbau CM CDM CAM,30,72,72,"Rayo Vallecano Jun 30, 2026 On loan",€2.2M,€7K,1945,
,Pacha Espino LB LM CM,33,72,72,Rayo Vallecano 2023 ~ 2028,€1.2M,€17K,1975,
,Oso LB LM,21,72,80,Sevilla FC 2024 ~ 2027,€5M,€15K,1879,
,Andrés Castrín CB,22,72,81,Sevilla FC 2025 ~ 2027,€4.9M,€18K,1641,
,W. Kambwala CB,20,72,81,Villarreal CF 2024 ~ 2029,€4.8M,€17K,1612,
,Unai Vencedor CDM CM,24,72,75,"Levante UD Jun 30, 2026 On loan",€2.9M,€22K,1997,
,Iker Losada CAM LM CM,23,72,77,"Levante UD Jun 30, 2026 On loan",€3.5M,€17K,1854,
,Juanmi ST LM LW,32,72,72,Getafe CF 2025 ~ 2027,€1.9M,€25K,1819,
,L. Vázquez ST,24,72,76,"Getafe CF Jun 30, 2026 On loan",€3.4M,€20K,1830,
,S. Boselli CB RB CDM,21,72,77,Getafe CF 2023 ~ 2026,€3.3M,€16K,1865,
,Adrián Liso ST LM RM CAM,20,72,83,"Getafe CF Jun 30, 2026 On loan",€5M,€7K,1896,
,Abel Ruiz ST,25,72,75,Girona FC 2024 ~ 2029,€3.1M,€22K,1867,
,L. Dendoncker CM CDM CB,30,72,72,Real Oviedo 2025 ~ 2027,€2.2M,€23K,1984,
,Dani Calvo CB,31,72,72,Real Oviedo 2021 ~ 2030,€1.6M,€22K,1662,
,S. Colombatto CDM CM,28,72,72,Real Oviedo 2021 ~ 2027,€2.1M,€22K,2058,
,N. Fonseca CDM CM,26,72,72,Real Oviedo 2025 ~ 2028,€2.3M,€21K,1932,
,Marc Guiu ST,19,71,84,Chelsea 2024 ~ 2029,€4.5M,€45K,1754,
,T. George LM RM ST LW,19,71,84,"Everton Jun 30, 2026 On loan",€4.4M,€40K,1760,
,N. Patterson RB RM,23,71,76,Everton 2022 ~ 2027,€2.6M,€20K,1801,
,S. Byram LB RB LM,31,71,71,Leeds United 2023 ~ 2029,€1.4M,€33K,1838,
,I. Meslier GK,25,71,74,Leeds United 2020 ~ 2028,€1.9M,€19K,1189,
,F. Woodman GK,28,71,71,Liverpool 2025 ~ 2030,€1.3M,€32K,1190,
,John Victor GK,29,71,71,Nottingham Forest 2025 ~ 2028,€1.3M,€30K,972,
,N. Angulo LM RM LW,22,71,81,Sunderland 2026 ~ 2030,€4.2M,€29K,1714,
,R. Mundle LW LM RW,22,71,79,Sunderland 2024 ~ 2028,€4.2M,€31K,1748,
,Mateus Mané CAM CM RW,17,71,84,Wolverhampton Wanderers 2025 ~ 2029,€4.3M,€20K,1843,
,D. Bentley GK,31,71,71,Wolverhampton Wanderers 2023 ~ 2027,€1M,€24K,1205,
,H. Ekdal CB,26,71,73,Burnley 2023 ~ 2027,€2M,€32K,1588,
,J. Devenny CM RW LM CAM,21,71,78,Crystal Palace 2023 ~ 2027,€3.8M,€32K,1945,
,V. Milosavljević CB,18,71,84,AFC Bournemouth 2025 ~ 2030,€4.1M,€24K,1600,
,B. Gannon-Doak RM RW,19,71,84,AFC Bournemouth 2025 ~ 2030,€4.4M,€27K,1732,
,J. Casimir RM ST RB,23,71,76,AJ Auxerre 2025 ~ 2028,€2.8M,€13K,1808,
,B. Okoh CB,22,71,79,AJ Auxerre 2026 ~ 2029,€3.9M,€13K,1645,
,A. Bulatović CM CDM,18,71,81,RC Lens 2025 ~ 2028,€3.9M,€11K,1874,
,J. Gbamin CB CDM CM,29,71,71,FC Metz 2025 ~ 2030,€1.6M,€10K,1899,
,K. Kouao RB RM,27,71,71,FC Metz 2022 ~ 2028,€1.8M,€10K,1755,
,B. Traoré CDM CM,23,71,76,"FC Metz Jun 30, 2026 On loan",€2.6M,€30K,1854,
,M. Coulibaly CM CDM,21,71,82,AS Monaco 2023 ~ 2028,€4.2M,€14K,1859,
,L. Leroux CM LB CDM,19,71,80,FC Nantes 2024 ~ 2030,€4M,€9K,1857,
,B. Guirassy LW RW LM,18,71,80,FC Nantes 2024 ~ 2028,€4M,€9K,1662,
,P. Carlgren GK,33,71,71,FC Nantes 2024 ~ 2030,€600K,€8K,1293,
,I. Ganago ST LM LW,26,71,72,FC Nantes 2022 ~ 2027,€2.2M,€13K,1786,
,M. Mohamed ST,27,71,71,FC Nantes 2023 ~ 2027,€2M,€13K,1815,
,Kevin Carlos ST,24,71,76,OGC Nice 2025 ~ 2030,€2.9M,€16K,1706,
,I. Jansson LW ST CAM LM,23,71,76,OGC Nice 2025 ~ 2029,€2.8M,€16K,1796,
,A. Ait Boudlal CB,19,71,82,Stade Rennais FC 2024 ~ 2028,€3.8M,€11K,1617,
,M. Amougou CM CDM,19,71,79,RC Strasbourg Alsace 2025 ~ 2030,€4M,€21K,1861,
,A. Ouattara RM CM RW,19,71,80,RC Strasbourg Alsace 2024 ~ 2029,€4M,€21K,1736,
,Igor Silva RB CB RM,28,71,71,FC Lorient 2021 ~ 2028,€1.7M,€13K,1888,
,D. Yongwa LB CB LM,24,71,75,FC Lorient 2022 ~ 2029,€2.5M,€11K,1775,
,I. Touré CB,22,71,79,FC Lorient 2023 ~ 2028,€3.9M,€11K,1552,
,N. Cadiou CDM CM,26,71,74,FC Lorient 2025 ~ 2029,€2.2M,€12K,1866,
,F. Hanin LB LM,35,71,71,Angers SCO 2023 ~ 2029,€575K,€8K,1823,
,L. Raolisoa RB RM,25,71,75,Angers SCO 2023 ~ 2028,€2.4M,€9K,1737,
,L. Négo RB RM,34,71,71,Le Havre AC 2023 ~ 2028,€700K,€10K,1927,
,A. Samatta ST,32,71,71,Le Havre AC 2025 ~ 2030,€1.5M,€12K,1813,
,R. Ndiaye CM CDM CAM,23,71,76,Le Havre AC 2023 ~ 2028,€2.8M,€9K,1872,
,R. Khadra CAM LM ST CM,23,71,77,"Le Havre AC Jun 30, 2026 On loan",€3M,€6K,1903,
,É. Youté Kinkoué CB,23,71,77,Le Havre AC 2023 ~ 2029,€2.7M,€9K,1530,
,K. Haug GK,27,71,75,Toulouse FC 2022 ~ 2030,€2M,€9K,1211,
,T. De Smet LB LM,27,71,71,Paris FC 2025 ~ 2027,€1.8M,€26K,1773,
,A. Camara CM RB CDM,28,71,71,Paris FC 2023 ~ 2027,€1.9M,€29K,1911,
,P. Drewes GK,32,71,71,Borussia Dortmund 2025 ~ 2027,€925K,€17K,1157,
,H. Bolin LM RM CAM LW,21,71,77,"Borussia Mönchengladbach Jun 30, 2026 On loan",€3M,€6K,1842,
,N. Höfler CDM CM CB,35,71,71,SC Freiburg 2010 ~ 2029,€525K,€13K,1742,
,A. Jung CB,33,71,71,SC Freiburg 2025 ~ 2029,€900K,€18K,1846,
,C. Özkacar CB,24,71,76,"1. FC Köln Jun 30, 2026 On loan",€2.6M,€19K,1627,
,R. van den Berg CB,20,71,82,1. FC Köln 2025 ~ 2030,€3.8M,€11K,1608,
,F. Bredlow GK,30,71,71,VfB Stuttgart 2019 ~ 2027,€1.2M,€15K,1060,
,L. Jaquez CB,22,71,79,VfB Stuttgart 2025 ~ 2029,€3.9M,€19K,1661,
,K. Coulibaly CB CDM CM,18,71,85,SV Werder Bremen 2025 ~ 2029,€4.1M,€11K,1592,
,O. Deman LB LM CM,25,71,74,SV Werder Bremen 2023 ~ 2028,€2.3M,€16K,1933,
,M. Leitsch CB,27,71,71,1. FSV Mainz 05 2022 ~ 2028,€1.7M,€17K,1654,
,W. Bøving ST CAM LM,22,71,78,1. FSV Mainz 05 2025 ~ 2029,€3.8M,€17K,1813,
,A. Sieb ST CAM,22,71,79,"1. FSV Mainz 05 Jun 30, 2026 On loan",€4.2M,€31K,1745,
,S. Kawasaki CM CDM CAM,23,71,75,1. FSV Mainz 05 2020 ~ 2028,€2.7M,€15K,1882,
,P. Pervan GK,37,71,71,VfL Wolfsburg 2018 ~ 2027,€210K,€10K,1054,
,K. Kosugi LB LM,19,71,81,Eintracht Frankfurt 2026 ~ 2031,€3.9M,€13K,1719,
,Kauã Santos GK,22,71,81,Eintracht Frankfurt 2023 ~ 2030,€3.6M,€9K,1021,
,S. Nsoki CB LB CDM,26,71,74,"1. FC Union Berlin Jun 30, 2026 On loan",€2.2M,€20K,1764,
,N. Banks CB,18,71,83,FC Augsburg 2024 ~ 2027,€4.1M,€13K,1629,
,M. Pedersen LB LM RB CM,28,71,71,FC Augsburg 2019 ~ 2027,€1.7M,€21K,1848,
,Y. Keitel CDM CM CB,25,71,74,"FC Augsburg Jun 30, 2026 On loan",€2.2M,€20K,1789,
,K. Mets CB,32,71,71,FC St. Pauli 2023 ~ 2030,€1.2M,€16K,1737,
,D. Sinani CAM RM ST CM,28,71,71,FC St. Pauli 2023 ~ 2029,€1.9M,€17K,1827,
,B. Gimber CB CDM CM,28,71,72,1. FC Heidenheim 1846 2023 ~ 2028,€1.8M,€19K,1697,
,J. Föhrenbach LB LM CB,29,71,71,1. FC Heidenheim 1846 2019 ~ 2027,€1.6M,€19K,1732,
,L. Stergiou RB CB CM,23,71,78,"1. FC Heidenheim 1846 Jun 30, 2026 On loan",€3.6M,€19K,1766,
,A. Beck CAM CM RM,28,71,71,1. FC Heidenheim 1846 2022 ~ 2028,€1.9M,€20K,1982,
,T. Siersleben CB,25,71,74,1. FC Heidenheim 1846 2023 ~ 2028,€2.2M,€18K,1624,
,A. Maksimović RW CAM CM RM,18,71,81,RB Leipzig 2025 ~ 2030,€4M,€21K,1792,
,D. Bartesaghi LB LM,19,71,81,AC Milan 2023 ~ 2030,€3.9M,€17K,1869,
,P. Mazzocchi RB RM,29,71,71,Napoli 2024 ~ 2027,€1.6M,€47K,1933,
,P. Almqvist RM RW CAM,25,71,72,Parma 2024 ~ 2027,€2.2M,€13K,1745,
,N. Estévez CDM CM,29,71,71,Parma 2022 ~ 2027,€1.6M,€14K,1994,
,C. Ordoñez CDM CM,20,71,81,Parma 2025 ~ 2030,€3.9M,€10K,1842,
,K. Ehizibue RB RM,30,71,71,Udinese 2022 ~ 2030,€1.6M,€12K,1866,
,Oier Zarraga CM CDM,26,71,71,Udinese 2023 ~ 2027,€2M,€12K,1890,
,J. Zemura LB LM,25,71,73,Udinese 2023 ~ 2027,€2.2M,€11K,1859,
,R. Sava GK,23,71,81,Udinese 2024 ~ 2029,€3.6M,€6K,951,
,L. De Silvestri RB RM,37,71,71,Bologna 2020 ~ 2030,€425K,€20K,1939,
,A. Harroui CM CDM CAM,27,71,71,Hellas Verona FC 2024 ~ 2028,€2M,€9K,1953,
,C. Niasse CDM CM,25,71,76,Hellas Verona FC 2025 ~ 2029,€2.5M,€8K,1750,
,A. Sarr ST CAM,24,71,76,Hellas Verona FC 2025 ~ 2029,€2.9M,€8K,1772,
,D. Mosquera ST,25,71,74,Hellas Verona FC 2024 ~ 2028,€2.5M,€9K,1718,
,J. Rodríguez CB,20,71,78,Cagliari 2025 ~ 2030,€3.4M,€6K,1599,
,O. Christensen GK,26,71,74,Fiorentina 2023 ~ 2028,€1.9M,€17K,1144,
,S. Sabelli RB RM,32,71,71,Genoa 2021 ~ 2028,€1.3M,€15K,1729,
,J. Onana CM CDM,25,71,74,"Genoa Jun 30, 2026 On loan",€2.5M,€22K,1910,
,M. Ellertsson CM RM LM CAM,23,71,76,Genoa 2025 ~ 2029,€2.8M,€13K,1944,
,A. Caracciolo CB,35,71,71,Pisa 2020 ~ 2029,€500K,€6K,1562,
,S. Scuffet GK,29,71,72,Pisa 2025 ~ 2028,€1.4M,€5K,1259,
,I. Touré RM RB,27,71,71,Pisa 2021 ~ 2027,€2M,€8K,1920,
,A. Šemper GK,27,71,74,Pisa 2023 ~ 2027,€1.8M,€5K,1070,
,S. Angori LM LB,21,71,78,Pisa 2024 ~ 2027,€3.8M,€6K,1851,
,M. Bianchetti CB,32,71,71,Cremonese 2019 ~ 2029,€1.2M,€9K,1593,
,F. Ceccherini CB,33,71,71,Cremonese 2024 ~ 2029,€900K,€9K,1703,
,G. Pezzella LM LB,27,71,71,Cremonese 2025 ~ 2028,€2M,€9K,1888,
,Y. Maleh CM CDM,26,71,72,"Cremonese Jun 30, 2026 On loan",€2.2M,€9K,1921,
,W. Bondo CM CDM,21,71,78,"Cremonese Jun 30, 2026 On loan",€3.8M,€19K,1923,
,F. Terracciano CB LB RB,22,71,80,"Cremonese Jun 30, 2026 On loan",€3.9M,€22K,1965,
,T. Barbieri RB RM,22,71,76,Cremonese 2024 ~ 2028,€2.7M,€7K,1789,
,Fali Candé CB,27,71,73,Sassuolo 2025 ~ 2028,€2M,€13K,1899,
,A. Fadera LW LM,23,71,77,"Sassuolo Jun 30, 2026 On loan",€3M,€43K,1888,
,Rodri Mendoza CM RM CAM CDM,20,71,84,Atlético Madrid 2026 ~ 2031,€4.5M,€25K,1908,
,Izeta ST LW LM,25,71,74,Athletic Club 2023 ~ 2027,€2.5M,€25K,1808,
,Nico Serrano LW LM RM,22,71,79,Athletic Club 2020 ~ 2028,€4.2M,€23K,1708,
,Adrián GK,38,71,71,Real Betis Balompié 2024 ~ 2029,€210K,€7K,1220,
,Yoel Lago CB,21,71,78,RC Celta 2023 ~ 2029,€3.5M,€12K,1529,
,F. Cervi LM LW,31,71,71,RC Celta 2021 ~ 2030,€1.6M,€18K,1870,
,Rubén Sánchez RB RM,24,71,76,RCD Espanyol 2022 ~ 2027,€2.6M,€12K,1881,
,C. Riedel CB RB,21,71,81,RCD Espanyol 2025 ~ 2029,€3.9M,€10K,1629,
,Zito Luvumbo ST LM RM CAM,23,71,78,"RCD Mallorca Jun 30, 2026 On loan",€3.8M,€8K,1887,
,Jesús Vázquez LB LM,22,71,77,Valencia CF 2020 ~ 2028,€2.8M,€19K,1837,
,Calebe RM CM RW,25,71,72,Deportivo Alavés 2025 ~ 2029,€2.2M,€17K,1901,
,Tete Morente LM LW RM,28,71,71,Elche CF 2026 ~ 2028,€1.9M,€16K,1868,
,L. Pétrot CB LB,28,71,71,Elche CF 2025 ~ 2029,€1.6M,€15K,1690,
,Héctor Fort RB LB RM CM,18,71,83,"Elche CF Jun 30, 2026 On loan",€4.2M,€27K,1820,
,Iker Benito LW RM LM,22,71,78,CA Osasuna 2020 ~ 2027,€3.8M,€19K,1855,
,Iker Muñoz CM CDM,22,71,79,CA Osasuna 2021 ~ 2030,€4.2M,€18K,1826,
,F. Gattoni CB,26,71,71,Sevilla FC 2023 ~ 2027,€1.8M,€18K,1837,
,T. Nianzou CB,23,71,76,Sevilla FC 2022 ~ 2027,€2.6M,€16K,1647,
,P. Ratkov ST,21,68,78,Lazio 2026 ~ 2028,€2.7M,€12K,1639,
,E. Corvi GK,24,68,71,Parma 2022 ~ 2027,€1.3M,€5K,1027,
,B. Cremaschi CM CAM RM,20,68,79,"Parma Jun 30, 2026 On loan",€2.6M,€3K,1755,
,T. Anjorin CM CAM CDM,23,68,75,"Torino Jun 30, 2026 On loan",€2.4M,€2K,1898,
,L. Marianucci CB,20,68,79,"Torino Jun 30, 2026 On loan",€2.5M,€23K,1468,
,K. N'Dri RM RW ST,24,68,71,Lecce 2025 ~ 2027,€1.6M,€5K,1818,
,Þ. Helgason CM CAM,24,68,73,Lecce 2021 ~ 2029,€1.8M,€5K,1775,
,P. Masini CDM CM,24,68,72,Genoa 2022 ~ 2028,€1.6M,€9K,1764,
,A. Calabresi CB RB RM,29,68,68,Pisa 2022 ~ 2030,€1M,€6K,1612,
,M. Marin CM CDM,26,68,69,Pisa 2019 ~ 2029,€1.4M,€6K,1896,
,F. Stojilković ST,25,68,71,Pisa 2026 ~ 2029,€1.6M,€6K,1653,
,G. Piccinini CM CDM,24,68,73,Pisa 2021 ~ 2030,€1.8M,€5K,1822,
,M. Faye CB,20,68,82,"Cremonese Jun 30, 2026 On loan",€2.7M,€8K,1748,
,L. Moro ST,24,68,73,Sassuolo 2022 ~ 2027,€1.8M,€10K,1552,
,Thiago Pitarch CM CDM CAM,17,68,85,Real Madrid 2024 ~ 2027,€3M,€29K,1713,
,L. Bergström GK,22,68,75,RCD Mallorca 2025 ~ 2027,€2.1M,€7K,1018,
,J. Vertrouwd CB LB LM,20,68,78,Rayo Vallecano 2025 ~ 2030,€2.5M,€8K,1794,
,Paco Cortés LW LM,17,68,81,Levante UD 2024 ~ 2028,€2.8M,€8K,1623,
,Kareem Tunde RW LM RM,19,68,79,Levante UD 2024 ~ 2029,€2.6M,€10K,1688,
,A. Kamara RM RW LM,21,68,76,"Getafe CF Jun 30, 2026 On loan",€2.7M,€12K,1753,
,B. Domingues LM RM CAM LW,25,68,69,Real Oviedo 2025 ~ 2028,€1.4M,€14K,1730,
,T. Heaton GK,39,67,67,Manchester United 2021 ~ 2030,€110K,€8K,1194,
,B. Austin GK,26,67,71,Tottenham Hotspur 2016 ~ 2029,€1.1M,€19K,1031,
,M. Ellborg GK,22,67,75,Sunderland 2026 ~ 2030,€2M,€10K,972,
,M. Caillard GK,31,67,67,Lille OSC 2024 ~ 2029,€550K,€7K,1090,
,A. Touré CDM CM,19,67,81,FC Metz 2024 ~ 2028,€2.3M,€4K,1774,
,P. Sy GK,28,67,69,FC Metz 2024 ~ 2028,€875K,€4K,1016,
,G. Abuashvili LM RM LW,22,67,75,FC Metz 2024 ~ 2030,€2.3M,€6K,1625,
,G. Bernardeau CAM RM CM,19,67,77,OGC Nice 2025 ~ 2029,€2.2M,€7K,1604,
,K. Boudache RM ST RW,19,67,77,OGC Nice 2026 ~ 2028,€2.2M,€7K,1549,
,H. Djibirin RM RW,18,67,78,Angers SCO 2025 ~ 2029,€2.1M,€4K,1573,
,M. Courcoul CDM CM CB,18,67,81,Angers SCO 2023 ~ 2027,€2.2M,€4K,1601,
,F. Mambimbi ST LM RM CAM,24,67,72,Le Havre AC 2025 ~ 2027,€1.6M,€6K,1680,
,R. Riou GK,37,67,67,Paris FC 2024 ~ 2026,€110K,€7K,1190,
,J. Lopez LW CAM ST LM,33,67,67,Paris FC 2017 ~ 2029,€625K,€19K,1741,
,P. Hamel ST,31,67,67,Paris FC 2022 ~ 2028,€850K,€19K,1591,
,T. Pereira Cardoso GK,19,67,82,Borussia Mönchengladbach 2025 ~ 2028,€2.1M,€3K,989,
,J. Olschowsky GK,23,67,74,Borussia Mönchengladbach 2020 ~ 2027,€1.7M,€5K,948,
,L. Öztunalı RW CM RM,29,67,67,Hamburger SV 2023 ~ 2030,€1M,€11K,1842,
,A. Tape CB,17,67,84,Bayer 04 Leverkusen 2025 ~ 2030,€2.4M,€11K,1680,
,M. Culbreath RM CAM RW,17,67,83,Bayer 04 Leverkusen 2025 ~ 2030,€2.5M,€12K,1658,
,P. Čović CAM RM CM,18,67,81,SV Werder Bremen 2024 ~ 2029,€2.4M,€7K,1634,
,M. Kolke GK,34,67,67,SV Werder Bremen 2024 ~ 2029,€170K,€7K,1152,
,L. Rieß GK,23,67,74,1. FSV Mainz 05 2021 ~ 2027,€1.7M,€5K,986,
,C. Klaus GK,31,67,67,1. FC Union Berlin 2024 ~ 2029,€550K,€9K,966,
,Y. Eduardo ST,19,67,80,TSG 1899 Hoffenheim 2026 ~ 2028,€2.4M,€10K,1619,
,C. Campbell RM RW,19,67,82,"TSG 1899 Hoffenheim Jun 30, 2026 On loan",€2.4M,€11K,1585,
,D. Zeitler ST LW LM,18,67,79,TSG 1899 Hoffenheim 2025 ~ 2029,€2.4M,€10K,1663,
,B. Voll GK,24,67,72,FC St. Pauli 2024 ~ 2029,€1.2M,€5K,949,
,M. Cocchi LB LM,18,67,82,Inter 2026 ~ 2028,€2.3M,€7K,1809,
,L. Cerri ST,22,67,76,Juventus 2025 ~ 2027,€2.3M,€33K,1554,
,R. Belahyane CM CDM,21,67,76,Lazio 2025 ~ 2029,€2.3M,€9K,1786,
,E. Motta GK,20,67,74,Lazio 2026 ~ 2030,€1.7M,€4K,963,
,N. Contini GK,29,67,68,Napoli 2015 ~ 2030,€775K,€19K,1117,
,A. Vergara RW RM CAM,22,67,76,Napoli 2023 ~ 2027,€2.3M,€27K,1702,
,E. İlkhan CM CDM,21,67,74,Torino 2022 ~ 2030,€2.1M,€11K,1743,
,E. Helland CB RB,20,67,79,Bologna 2026 ~ 2030,€2.3M,€12K,1655,
,Isaac ST,21,67,76,Hellas Verona FC 2026 ~ 2029,€2.3M,€5K,1662,
,A. Edmundsson CB,24,67,71,Hellas Verona FC 2026 ~ 2029,€1.3M,€5K,1509,
,S. Perilli GK,30,67,67,Hellas Verona FC 2022 ~ 2027,€675K,€4K,1156,
,Álvaro Cortés CB,20,66,79,FC Barcelona 2024 ~ 2028,€1.9M,€16K,1535,
,V. Koski CB CDM,23,66,72,Deportivo Alavés 2024 ~ 2027,€1.2M,€8K,1495,
,Iturbe GK,21,66,76,Elche CF 2025 ~ 2029,€1.7M,€3K,1095,
,Osambela CB CDM CM,20,66,77,CA Osasuna 2025 ~ 2029,€1.8M,€8K,1705,
,T. Abed RW CAM RM,20,66,78,Levante UD 2026 ~ 2029,€2.1M,€8K,1722,
,O. Ejaria CM LM CAM CDM,27,66,66,Real Oviedo 2025 ~ 2028,€900K,€11K,1798,
,B. Burrowes RM ST RW,17,65,82,Aston Villa 2024 ~ 2028,€1.8M,€12K,1683,
,G. Hemmings CDM CM CAM,18,65,80,Aston Villa 2025 ~ 2029,€1.6M,€14K,1769,
,C. Ramsay RB RM,21,65,73,Liverpool 2022 ~ 2027,€1.5M,€15K,1708,
,T. Nyoni CM CAM CDM,18,65,84,Liverpool 2025 ~ 2028,€1.8M,€14K,1690,
,C. Obi ST,17,65,84,Manchester United 2024 ~ 2028,€1.8M,€12K,1617,
,T. Fredricson CB,20,65,78,Manchester United 2025 ~ 2030,€1.6M,€13K,1543,
,S. Lacey RM RW,18,65,84,Manchester United 2025 ~ 2027,€1.8M,€13K,1651,
,A. Murphy LB CB LM,21,65,79,Newcastle United 2022 ~ 2028,€1.7M,€17K,1638,
,A. Ba RW LW RM,21,65,68,Sunderland 2022 ~ 2027,€1M,€12K,1761,
,T. Edozie RW CAM RM,19,65,78,Wolverhampton Wanderers 2024 ~ 2027,€1.7M,€12K,1635,
,F. Sylla CM CDM,19,65,78,RC Lens 2025 ~ 2028,€1.7M,€5K,1710,
,O. Touré CB,20,65,77,Lille OSC 2023 ~ 2028,€1.6M,€6K,1490,
,A. Laâziri LB LM,21,65,74,Olympique Lyonnais 2022 ~ 2027,€1.5M,€4K,1679,
,Y. Lienard GK,22,65,75,AS Monaco 2021 ~ 2027,€1.4M,€4K,941,
,M. Silistrie GK,19,65,77,Stade Rennais FC 2025 ~ 2029,€1.5M,€2K,1003,
,S. Bajic GK,23,65,70,RC Strasbourg Alsace 2025 ~ 2028,€875K,€6K,925,
,M. Zinga GK,23,65,73,Angers SCO 2022 ~ 2029,€1.4M,€2K,969,
,S. Zagadou CB,16,65,79,Le Havre AC 2025 ~ 2028,€1.5M,€2K,1488,
,E. Koffi LB LM,19,65,77,Le Havre AC 2025 ~ 2026,€1.6M,€3K,1657,
,S. Koumbassa CB,18,65,78,Toulouse FC 2025 ~ 2030,€1.6M,€4K,1429,
,S. Alakouch RB RM,26,65,66,Paris FC 2024 ~ 2028,€775K,€12K,1668,
,F. Mane CB RB,20,65,79,Borussia Dortmund 2024 ~ 2028,€1.6M,€8K,1461,
,A. Kabar LB,19,65,80,Borussia Dortmund 2024 ~ 2028,€1.6M,€7K,1736,
,K. Bos LB LM,21,65,75,1. FSV Mainz 05 2025 ~ 2029,€1.5M,€6K,1611,
,L. Arrhov CAM CM LM,17,65,80,Eintracht Frankfurt 2026 ~ 2028,€1.6M,€5K,1700,
,L. Engelns CM RM CDM,18,65,80,TSG 1899 Hoffenheim 2026 ~ 2027,€1.7M,€6K,1699,
,L. Erlein RB CB RM,17,65,78,TSG 1899 Hoffenheim 2025 ~ 2030,€1.6M,€5K,1503,
,J. Robatsch CB LB,20,65,76,FC St. Pauli 2025 ~ 2030,€1.5M,€5K,1488,
,R. Obrić CB,19,65,76,Atalanta 2025 ~ 2028,€1.4M,€10K,1411,
,L. Topalovič CM CAM,19,65,78,Inter 2025 ~ 2029,€1.7M,€6K,1676,
,A. Taho GK,18,65,80,Inter 2025 ~ 2030,€1.4M,€2K,937,
,Cristo Muñoz CAM CM,20,65,75,Lazio 2024 ~ 2027,€1.6M,€7K,1779,
,D. Odogu CB,19,65,83,AC Milan 2025 ~ 2029,€1.7M,€8K,1462,
,Z. Athekame RB CM,20,65,78,AC Milan 2025 ~ 2030,€1.6M,€8K,1566,
,S. Britschgi RB LB RM,18,65,75,Parma 2025 ~ 2030,€1.4M,€4K,1525,
,A. Njie ST LW LM,20,65,77,Torino 2024 ~ 2027,€1.7M,€8K,1605,
,B. Mlačić CB,18,65,80,Udinese 2026 ~ 2031,€1.6M,€3K,1580,
,D. Padelli GK,39,65,65,Udinese 2021 ~ 2030,€80K,€2K,988,
,S. Fofana CDM CB CM,22,65,72,Lecce 2026 ~ 2027,€1.4M,€3K,1683,
,F. Camarda ST,17,65,87,"Lecce Jun 30, 2026 On loan",€2.3M,€7K,1565,
,Lorran CAM CM,18,65,80,Pisa 2025 ~ 2028,€1.7M,€2K,1627,
,F. Folino CB,23,65,73,Cremonese 2025 ~ 2028,€1.5M,€3K,1493,
,Fran González GK,20,65,82,Real Madrid 2024 ~ 2030,€1.7M,€12K,945,
,Hugo González RM LM RW,22,65,74,RC Celta 2025 ~ 2028,€1.6M,€7K,1628,
,Fortuño GK,23,65,73,RCD Espanyol 2020 ~ 2027,€1.4M,€3K,1067,
,J. Kalumba LM LB RM LW,20,65,75,RCD Mallorca 2026 ~ 2029,€1.6M,€6K,1656,
,Cristian Rivero GK,27,65,67,Valencia CF 2017 ~ 2027,€650K,€6K,986,
,Buba Sangaré RB CB,17,65,79,"Elche CF Jun 30, 2026 On loan",€1.6M,€6K,1674,
,Alberto Flores GK,21,65,77,Sevilla FC 2022 ~ 2027,€1.5M,€3K,947,
,Pau Cabanes ST RM,20,65,78,Villarreal CF 2024 ~ 2028,€1.7M,€8K,1557,
,Lass Kourouma CM CAM CDM,21,65,74,Girona FC 2025 ~ 2028,€1.6M,€6K,1687,
,T. Sharman-Lowe GK,22,64,74,Chelsea 2020 ~ 2028,€1.1M,€11K,1069,
,T. King GK,30,64,64,Everton 2025 ~ 2027,€400K,€7K,1137,
,Á. Pécsi GK,20,64,78,Liverpool 2025 ~ 2030,€1.2M,€7K,981,
,D. León LB LM,18,64,83,Manchester United 2025 ~ 2030,€1.4M,€11K,1757,
,H. Howell RM CAM RW,17,64,82,Brighton & Hove Albion 2025 ~ 2028,€1.5M,€10K,1601,
,M. Goffi CB RB,17,64,77,Lille OSC 2025 ~ 2028,€1.2M,€3K,1560,
,L. Diarra GK,22,64,74,Olympique Lyonnais 2023 ~ 2027,€1.1M,€3K,929,
,A. Hamdani LM LW,16,64,79,Olympique Lyonnais 2025 ~ 2028,€1.3M,€3K,1583,
,N. Mbala LM RM LW,17,64,77,FC Metz 2026 ~ 2029,€1.3M,€2K,1583,
,S. Doucouré CB,20,64,77,FC Nantes 2024 ~ 2027,€1.3M,€3K,1391,
,B. Deuff CDM CM,19,64,79,FC Nantes 2025 ~ 2029,€1.3M,€3K,1707,
,Everton CDM CM,18,64,77,OGC Nice 2026 ~ 2029,€1.3M,€4K,1624,
,Z. Diallo ST,20,64,75,OGC Nice 2025 ~ 2028,€1.3M,€6K,1518,
,N. Nsoki LW RW LM,18,64,79,Paris Saint-Germain 2025 ~ 2027,€1.4M,€12K,1582,
,N. Mukiele LM ST LW,19,64,78,Stade Rennais FC 2025 ~ 2028,€1.4M,€5K,1520,
