ID,Player_Name,Age,Primary_Position,Player_Type,Positions,Club,League,Contract_End_Year,Height_cm,Weight_kg,BMI,Value_EUR,Value_Formatted,Wage_EUR,Wage_Formatted,Value_per_Overall,apps,min,goals,a,NPG,Performance_Score,Overall rating,Potential,foot,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,"﻿""number"""
256903,Gonçalo Ramos,24,ST,Outfield,ST,Paris Saint-Germain,Ligue 1,2028,185.0,82.0,23.96,30500000.0,30.5M,79000.0,79K,381250.0,30,1293,6,1,5,0.49,80,84,Right,73,73,79,79,44,63,75,47,34,15,9,7,4,2,36
271400,Igor Paixão,25,LM,Outfield,LM LW,Olympique de Marseille,Ligue 1,2030,168.0,63.0,22.32,28000000.0,28M,45000.0,45K,350000.0,30,1979,6,5,6,0.5,80,83,Right,85,87,76,68,22,75,74,37,29,8,13,12,2,4,38
259516,Johnny Cardoso,23,CDM,Outfield,CDM CM,Atlético Madrid,La Liga,2030,185.0,78.0,22.79,27500000.0,27.5M,56000.0,56K,343750.0,15,905,0,0,0,0.0,80,84,Right,75,74,77,79,83,74,76,80,77,10,14,12,2,3,477
222509,Dani Ceballos,28,CM,Outfield,CM CDM CAM,Real Madrid,La Liga,2027,179.0,70.0,21.85,21000000.0,21M,165000.0,165K,262500.0,16,451,0,0,0,0.0,80,80,Right,65,57,75,61,76,80,80,75,70,12,15,7,3,4,323
212602,Diego Llorente,31,CB,Outfield,CB,Real Betis Balompié,La Liga,2028,186.0,75.0,21.68,14500000.0,14.5M,35000.0,35K,181250.0,18,1221,1,0,1,0.07,80,80,Right,62,62,65,78,82,60,70,83,78,8,12,9,3,2,174
224179,Borja Iglesias,32,ST,Outfield,ST,RC Celta,La Liga,2028,187.0,86.0,24.59,17000000.0,17M,40000.0,40K,212500.0,35,1903,14,2,10,0.76,80,80,Right,59,65,64,84,32,80,83,36,27,14,12,13,3,3,9
223952,David Soria,32,GK,Goalkeeper,GK,Getafe CF,La Liga,2030,192.0,85.0,23.06,10500000.0,10.5M,27000.0,27K,131250.0,38,3420,0,0,0,0.0,80,80,Right,46,34,43,76,21,49,61,13,13,80,79,80,3,1,321
206585,Kepa,30,GK,Goalkeeper,GK,Arsenal,Premier League,2028,189.0,89.0,24.92,11500000.0,11.5M,76000.0,76K,145569.62,1,90,0,0,0,0.0,79,79,Right,38,42,35,55,20,60,62,17,18,77,78,77,4,1,316
236499,Douglas Luiz,27,CDM,Outfield,CDM CM,"Aston Villa Jun 30, 2026 On loan",Premier League,,175.0,66.0,21.55,16500000.0,16.5M,100000.0,100K,208860.76,21,936,1,0,1,0.1,79,79,Right,69,66,75,65,76,82,84,78,72,12,6,10,2,3,202
76687,Estêvão,18,RM,Outfield,RM RW,Chelsea,Premier League,2033,178.0,71.0,22.41,37000000.0,37M,71000.0,71K,468354.43,22,854,2,2,2,0.42,79,89,Left,91,89,67,49,34,75,80,34,27,9,15,6,3,4,177
231943,Richarlison,28,ST,Outfield,ST LW LM,Tottenham Hotspur,Premier League,2027,184.0,83.0,24.52,18000000.0,18M,110000.0,110K,227848.1,32,1926,11,4,11,0.7,79,79,Right,77,75,68,74,46,74,79,58,48,12,7,11,4,4,12
270857,Mateus Fernandes,20,CM,Outfield,CM CAM CDM,West Ham United,Premier League,2030,178.0,72.0,22.72,27000000.0,27M,52000.0,52K,341772.15,36,3044,3,4,3,0.21,79,85,Right,73,67,83,62,75,80,78,77,74,6,5,8,4,4,126
256612,Evanilson,25,ST,Outfield,ST,AFC Bournemouth,Premier League,2029,183.0,80.0,23.89,21500000.0,21.5M,79000.0,79K,272151.9,36,2810,6,1,6,0.22,79,80,Right,75,76,74,78,37,70,78,41,26,13,11,14,4,3,55
252037,Fábio Silva,22,ST,Outfield,ST CAM LW,Borussia Dortmund,Bundesliga,2030,185.0,75.0,21.91,28500000.0,28.5M,47000.0,47K,360759.49,28,784,2,6,2,0.92,79,85,Right,79,83,83,74,22,74,76,28,26,6,12,13,3,4,148
261050,Francisco Conceição,22,CAM,Outfield,CAM RM RW CM,Juventus,Serie A,2030,168.0,61.0,21.61,35500000.0,35.5M,95000.0,95K,449367.09,31,2124,3,5,3,0.34,79,86,Left,89,87,69,40,31,74,72,42,38,9,6,15,2,4,117
80170,Wesley,21,RM,Outfield,RM LM RB RW,Roma,La Liga,2030,178.0,75.0,23.67,28000000.0,28M,42000.0,42K,354430.38,5,74,0,0,0,0.0,79,85,Right,91,88,78,74,75,67,76,75,74,6,6,13,3,3,589
80170,Wesley,21,RM,Outfield,RM LM RB RW,Roma,Serie A,2030,178.0,75.0,23.67,28000000.0,28M,42000.0,42K,354430.38,30,2474,5,0,5,0.18,79,85,Right,91,88,78,74,75,67,76,75,74,6,6,13,3,3,60
220651,Angeliño,28,LB,Outfield,LB LM,Roma,Serie A,2028,171.0,69.0,23.6,16000000.0,16M,56000.0,56K,202531.65,7,427,0,0,0,0.0,79,79,Left,77,64,87,56,75,78,80,75,74,13,6,13,3,4,304
229668,Mario Hermoso,30,CB,Outfield,CB,Roma,Serie A,2028,184.0,76.0,22.45,14500000.0,14.5M,56000.0,56K,183544.3,27,2106,3,2,3,0.21,79,79,Left,71,73,72,80,78,66,77,80,79,13,8,5,3,2,91
219693,Diego Carlos,32,CB,Outfield,CB,"Como Jun 30, 2026 On loan",Serie A,,185.0,79.0,23.08,11500000.0,11.5M,55000.0,55K,145569.62,27,1946,1,0,1,0.05,79,79,Right,54,70,50,87,79,63,75,80,78,7,10,7,4,3,210
192638,Marcos Alonso,34,CB,Outfield,CB LB,RC Celta,La Liga,2028,188.0,84.0,23.77,5500000.0,5.5M,33000.0,33K,69620.25,32,2780,1,0,0,0.03,79,79,Left,58,56,74,76,81,76,79,80,79,9,7,9,3,3,171
270728,Carlos Romero,23,LB,Outfield,LB CM,"RCD Espanyol Jun 30, 2026 On loan",La Liga,,180.0,73.0,22.53,23500000.0,23.5M,35000.0,35K,297468.35,36,3207,6,3,6,0.25,79,83,Left,82,80,83,68,76,76,78,82,76,9,10,11,2,3,56
202648,Sergi Darder,31,CM,Outfield,CM CAM LM CDM,RCD Mallorca,La Liga,2028,180.0,71.0,21.91,14500000.0,14.5M,38000.0,38K,183544.3,38,2715,1,5,1,0.2,79,79,Right,74,73,80,75,75,82,80,75,74,8,9,8,2,3,184
228805,Raíllo,33,CB,Outfield,CB,RCD Mallorca,La Liga,2027,187.0,80.0,22.88,8500000.0,8.5M,37000.0,37K,107594.94,24,2069,0,1,0,0.04,79,79,Right,41,41,87,80,79,59,66,80,77,10,15,15,3,2,329
224003,Sergio Herrera,32,GK,Goalkeeper,GK,CA Osasuna,La Liga,2028,192.0,82.0,22.24,8500000.0,8.5M,25000.0,25K,107594.94,37,3284,0,0,0,0.0,79,79,Right,45,50,42,67,12,40,53,17,18,79,79,77,3,1,386
262402,Sergi Cardona,25,LB,Outfield,LB LM,Villarreal CF,La Liga,2027,185.0,77.0,22.5,21500000.0,21.5M,39000.0,39K,272151.9,32,2028,1,4,1,0.22,79,82,Left,85,82,83,71,76,75,73,79,72,6,11,15,3,3,249
230670,Lucas Perri,27,GK,Goalkeeper,GK,Leeds United,Premier League,2029,197.0,98.0,25.25,13000000.0,13M,36000.0,36K,166666.67,16,1440,0,0,0,0.0,78,80,Right,32,36,38,81,25,63,44,18,14,78,77,77,2,1,463
234574,Diogo Dalot,26,RB,Outfield,RB LB CM,Manchester United,Premier League,2028,183.0,76.0,22.69,15000000.0,15M,72000.0,72K,192307.69,34,2614,1,3,1,0.14,78,79,Right,81,83,80,74,76,72,73,75,76,10,6,6,4,4,212
74866,André,23,CDM,Outfield,CDM CM,Wolverhampton Wanderers,Premier League,2030,177.0,77.0,24.58,19500000.0,19.5M,53000.0,53K,250000.0,35,2763,1,0,1,0.03,78,83,Right,60,55,75,67,79,74,78,78,79,5,5,14,3,2,267
273463,João Gomes,24,CDM,Outfield,CDM CM,Wolverhampton Wanderers,Premier League,2030,176.0,74.0,23.89,19500000.0,19.5M,53000.0,53K,250000.0,35,2845,1,1,1,0.06,78,83,Right,56,52,78,68,79,73,72,81,77,7,14,14,3,3,252
83494,Rayan,18,RM,Outfield,RM ST RW,AFC Bournemouth,Premier League,2031,185.0,80.0,23.37,29500000.0,29.5M,45000.0,45K,378205.13,15,1146,5,2,5,0.55,78,88,Left,84,82,73,79,28,76,79,35,22,6,14,14,2,3,71
272505,Endrick,18,ST,Outfield,ST RW RM,"Olympique Lyonnais Jun 30, 2026 On loan",La Liga,,173.0,67.0,22.39,30000000.0,30M,100000.0,100K,384615.38,1,5,0,0,0,0.0,78,89,Left,88,86,68,74,20,72,79,30,31,8,8,15,3,4,491
272505,Endrick,18,ST,Outfield,ST RW RM,"Olympique Lyonnais Jun 30, 2026 On loan",Ligue 1,,173.0,67.0,22.39,30000000.0,30M,100000.0,100K,384615.38,16,1248,5,7,4,0.86,78,89,Left,88,86,68,74,20,72,79,30,31,8,8,15,3,4,49
270039,Diego Moreira,20,RM,Outfield,RM LM LB RB,RC Strasbourg Alsace,Ligue 1,2029,179.0,73.0,22.78,22000000.0,22M,38000.0,38K,282051.28,27,2063,4,7,4,0.48,78,84,Left,88,92,85,62,70,70,77,66,62,9,11,8,3,4,65
73398,Rômulo,23,ST,Outfield,ST,RB Leipzig,Bundesliga,2030,193.0,79.0,21.21,21500000.0,21.5M,48000.0,48K,275641.03,30,2246,9,4,9,0.52,78,83,Right,68,67,72,84,30,74,80,33,28,11,11,14,3,3,19
256632,Luis Henrique,23,RM,Outfield,RM LM RB RW,Inter,Serie A,2030,181.0,85.0,25.95,21000000.0,21M,28000.0,28K,269230.77,30,1617,1,2,1,0.17,78,83,Right,85,94,75,81,55,73,73,52,46,9,5,10,3,3,231
234112,Dodô,26,RB,Outfield,RB RM,Fiorentina,Serie A,2027,166.0,68.0,24.68,15000000.0,15M,46000.0,46K,192307.69,36,3158,1,2,1,0.09,78,79,Right,84,87,84,59,74,72,76,75,71,14,14,14,3,3,251
74462,Gerard Martín,23,CB,Outfield,CB LB,FC Barcelona,La Liga,2028,186.0,76.0,21.97,18000000.0,18M,64000.0,64K,230769.23,32,2145,0,0,0,0.0,78,82,Left,76,79,73,82,80,69,73,79,80,10,11,13,3,3,486
272600,Marc Casadó,21,CDM,Outfield,CDM CM,FC Barcelona,La Liga,2028,171.0,65.0,22.23,18500000.0,18.5M,54000.0,54K,237179.49,24,957,0,1,0,0.09,78,82,Right,66,58,71,55,76,77,78,78,78,12,14,8,4,3,450
259524,Aitor Paredes,25,CB,Outfield,CB,Athletic Club,La Liga,2029,186.0,76.0,21.97,16500000.0,16.5M,38000.0,38K,211538.46,19,1625,2,0,2,0.11,78,81,Right,60,73,73,79,78,45,64,83,79,14,7,12,3,2,136
235945,Marc Roca,28,CDM,Outfield,CDM CM,Real Betis Balompié,La Liga,2029,184.0,80.0,23.63,12500000.0,12.5M,30000.0,30K,160256.41,29,2020,1,2,1,0.13,78,78,Left,50,60,68,75,77,78,78,78,74,12,11,10,3,3,189
