"number";"player";"team";"apps";"min";"goals";"NPG";"a"
319;"Mat Ryan";"Levante";36;3240;0;0;0
320;"Íñigo Lekue";"Athletic Club";11;607;0;0;0
321;"David Soria";"Getafe";38;3420;0;0;0
322;"Igor Zubeldia";"Real Sociedad";25;2080;0;0;1
323;"Dani Ceballos";"Real Madrid";16;451;0;0;0
324;"Toni Lato";"Mallorca";12;601;0;0;1
325;"Aymeric Laporte";"Athletic Club";25;2068;0;0;1
326;"Dimitri Foulquier";"Valencia";15;1149;0;0;0
327;"Marcos Llorente";"Atletico Madrid";29;2190;0;0;4
328;"Remiro";"Real Sociedad";37;3330;0;0;0
329;"Raíllo";"Mallorca";24;2069;0;0;1
330;"Dani Calvo";"Real Oviedo";21;1688;0;0;0
331;"Gerard Gumbau";"Rayo Vallecano";28;1153;0;0;3
332;"Stole Dimitrievski";"Valencia";20;1800;0;0;0
333;"Óscar Trejo";"Rayo Vallecano";7;131;0;0;1
334;"Unai López";"Rayo Vallecano";28;1637;0;0;4
335;"Álex Moreno";"Girona";31;2554;0;0;3
336;"Javi Muñoz";"Getafe";17;527;0;0;0
337;"Aitor Fernández";"Osasuna";2;134;0;0;0
338;"Clement Lenglet";"Atletico Madrid";19;1402;0;0;1
339;"Carles Aleñá";"Alaves";34;2002;0;0;4
340;"Yeray Álvarez";"Athletic Club";7;517;0;0;0
341;"Diego Rico";"Getafe";28;1723;0;0;0
342;"Mikel Vesga";"Athletic Club";23;402;0;0;0
343;"Mariano";"Alaves";10;269;0;0;0
344;"Nacho Vidal";"Real Oviedo";30;2383;0;0;0
345;"Jon Guridi";"Alaves";28;1251;0;0;0
346;"Unai Simón";"Athletic Club";37;3330;0;0;0
347;"Raba";"Valencia";13;247;0;0;1
348;"Josip Brekalo";"Real Oviedo";14;482;0;0;0
349;"Iván Balliu";"Rayo Vallecano";14;572;0;0;0
350;"Mihailo Ristic";"Celta Vigo";5;266;0;0;0
351;"Antonio Sivera";"Alaves";38;3420;0;0;0
352;"Portu";"Girona";10;463;0;0;0
353;"Unai Núñez";"Valencia";13;927;0;0;0
354;"Djené Dakonam";"Getafe";34;2601;0;0;0
