"number";"player";"team";"apps";"min";"goals";"NPG";"a"
342;"Joe Willock";"Newcastle United";24;979;0;0;2
343;"Rayan Ait Nouri";"Manchester City";17;981;0;0;2
344;"Dwight McNeil";"Everton";22;1184;0;0;1
345;"Jean-Clair Todibo";"West Ham";23;1827;0;0;1
346;"James Maddison";"Tottenham";3;25;0;0;0
347;"Matt Doherty";"Wolverhampton Wanderers";11;822;0;0;0
348;"Axel Disasi";"West Ham";14;1258;0;0;0
349;"Matz Sels";"Nottingham Forest";31;2672;0;0;0
350;"Naif Aguerd";"West Ham";2;180;0;0;0
351;"Hamed Junior Traore";"Bournemouth";1;13;0;0;1
352;"Borna Sosa";"Crystal Palace";7;88;0;0;0
353;"Christian Nørgaard";"Arsenal";7;93;0;0;0
354;"Benoit Badiashile Mukinayi";"Chelsea";8;478;0;0;0
355;"Bafode Diakite";"Bournemouth";18;1276;0;0;0
356;"Ben White";"Arsenal";12;703;0;0;1
357;"Max Kilman";"West Ham";21;1552;0;0;0
358;"Reinildo";"Sunderland";25;1974;0;0;1
359;"Harvey Elliott";"Aston Villa,Liverpool";5;110;0;0;0
360;"Wesley Fofana";"Chelsea";25;1745;0;0;1
361;"Dean Henderson";"Crystal Palace";37;3330;0;0;0
362;"Ezri Konsa Ngoyo";"Aston Villa";34;3036;0;0;0
363;"Sebastiaan Bornauw";"Leeds";12;438;0;0;0
364;"Caoimhin Kelleher";"Brentford";37;3330;0;0;0
365;"Igor Julio";"West Ham";4;94;0;0;0
366;"Sandro Tonali";"Newcastle United";35;2586;0;0;2
367;"Ilia Gruev";"Leeds";23;1310;0;0;3
368;"Arnaud Kalimuendo Muinga";"Nottingham Forest";9;75;0;0;0
369;"Guido Rodríguez";"West Ham";6;159;0;0;0
370;"Sander Berge";"Fulham";35;2935;0;0;1
371;"Ki-Jana Hoever";"Wolverhampton Wanderers";8;437;0;0;0
372;"Luca Netz";"Nottingham Forest";7;348;0;0;0
373;"Jorge Cuenca";"Fulham";15;949;0;0;0
374;"Dennis Cirkin";"Sunderland";8;312;0;0;0
375;"Pascal Struijk";"Leeds";34;2940;0;0;1
376;"Jack Harrison";"Leeds";11;232;0;0;0
377;"Stefan Ortega Moreno";"Nottingham Forest";3;270;0;0;0
378;"Wataru Endo";"Liverpool";8;162;0;0;1
379;"Sasa Kalajdzic";"Wolverhampton Wanderers";1;11;0;0;0
380;"Iyenoma Destiny Udogie";"Tottenham";20;1342;0;0;1
381;"Guglielmo Vicario";"Tottenham";31;2790;0;0;0
382;"Dilane Bakwa";"Nottingham Forest";14;556;0;0;2
383;"Aaron Hickey";"Brentford";21;668;0;0;0
384;"Florentino Luís";"Burnley";31;2146;0;0;2
385;"James Trafford";"Manchester City";4;360;0;0;0
386;"Robert Sánchez";"Chelsea";35;3054;0;0;1
387;"Radu Dragusin";"Tottenham";10;513;0;0;0
388;"Filip Jorgensen";"Chelsea";5;365;0;0;0
389;"Jeremie Frimpong";"Liverpool";21;1027;0;0;1
390;"Dane Scarlett";"Tottenham";2;4;0;0;0
391;"Maxime Estève";"Burnley";34;2946;0;0;0
